@CLASS:MetricRule
id,name,faultClassName,moClass,severity,message,moInstance,metric,operator,value,upperValue,isAlert
APCpuUsage2,APCpuUsage2,Threshold,AccessPoint,2,AP CPU이용률 초과. 임계치($(thresholdValue)) 측정치($(observedValue)),,cpuUsage,gt,50,60,FALSE
APCpuUsage3,APCpuUsage3,Threshold,AccessPoint,3,AP CPU이용률 초과. 임계치($(thresholdValue)) 측정치($(observedValue)),,cpuUsage,gt,60,70,FALSE
APCpuUsage4,APCpuUsage4,Threshold,AccessPoint,4,AP CPU이용률 초과. 임계치($(thresholdValue)) 측정치($(observedValue)),,cpuUsage,gt,70,80,FALSE
APCpuUsage5,APCpuUsage5,Threshold,AccessPoint,5,AP CPU이용률 초과. 임계치($(thresholdValue)) 측정치($(observedValue)),,cpuUsage,gt,80,90,FALSE
APCpuUsage6,APCpuUsage6,Threshold,AccessPoint,6,AP CPU이용률 초과. 임계치($(thresholdValue)) 측정치($(observedValue)),,cpuUsage,gt,90,,TRUE
APMemUsage2,APMemUsage2,Threshold,AccessPoint,2,AP 메모리이용률 초과. 임계치($(thresholdValue)) 측정치($(observedValue)),,memoryUsage,gt,50,60,FALSE
APMemUsage3,APMemUsage3,Threshold,AccessPoint,3,AP 메모리이용률 초과. 임계치($(thresholdValue)) 측정치($(observedValue)),,memoryUsage,gt,60,70,FALSE
APMemUsage4,APMemUsage4,Threshold,AccessPoint,4,AP 메모리이용률 초과. 임계치($(thresholdValue)) 측정치($(observedValue)),,memoryUsage,gt,70,80,FALSE
APMemUsage5,APMemUsage5,Threshold,AccessPoint,5,AP 메모리이용률 초과. 임계치($(thresholdValue)) 측정치($(observedValue)),,memoryUsage,gt,80,90,FALSE
APMemUsage6,APMemUsage6,Threshold,AccessPoint,6,AP 메모리이용률 초과. 임계치($(thresholdValue)) 측정치($(observedValue)),,memoryUsage,gt,90,,TRUE
APRadioPower2,APRadioPower2,Threshold,AccessPoint,2,AP 신호세기 이하. 임계치($(thresholdValue)) 측정치($(observedValue)),,radioPower,gt,18,20,FALSE
APRadioPower3,APRadioPower3,Threshold,AccessPoint,3,AP 신호세기 이하. 임계치($(thresholdValue)) 측정치($(observedValue)),,radioPower,gt,15,18,FALSE
APRadioPower4,APRadioPower4,Threshold,AccessPoint,4,AP 신호세기 이하. 임계치($(thresholdValue)) 측정치($(observedValue)),,radioPower,gt,13,15,FALSE
APRadioPower5,APRadioPower5,Threshold,AccessPoint,5,AP 신호세기 이하. 임계치($(thresholdValue)) 측정치($(observedValue)),,radioPower,gt,10,13,FALSE
APRadioPower,APRadioPower,Threshold,AccessPoint,6,AP 신호세기 이하. 임계치($(thresholdValue)) 측정치($(observedValue)),,radioPower,lt,8,,TRUE
